PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,CabinNo,MinDistanceToLifeboat,AgeGroup,Survived,Embarked
179,1,male,19,1,1,512.1,1,30,child,1,C
361,2,male,34,3,2,510.44,2,374,adult,0,C
36,2,female,32,3,2,509.8,3,10,adult,0,S
100,1,female,58,1,0,508.51,4,987,old,0,S
287,1,female,69,2,0,507.46,5,301,old,0,S
88,1,female,22,3,1,507.32,6,95,adult,0,C
391,2,male,24,3,2,506.1,7,189,adult,1,C
553,1,male,64,3,0,506.88,8,452,old,0,C
798,2,female,68,0,0,505.63,9,191,old,0,Q
492,2,female,58,1,2,505.38,10,485,old,0,C
259,3,male,37,0,0,503.19,11,265,adult,0,S
550,3,female,65,2,1,503.09,12,423,old,0,S
1,3,female,56,2,0,503.06,13,127,old,0,C
780,1,female,71,2,0,504.91,14,237,old,1,C
630,2,female,4,1,0,503.9,15,919,child,1,S
509,2,female,36,4,1,502.45,16,354,adult,1,C
280,1,female,12,2,2,503.26,17,939,child,1,S
293,3,male,59,4,0,500.77,18,111,old,0,Q
296,2,male,21,1,0,501.7,19,827,adult,1,S
750,2,male,74,1,2,500.3,20,445,old,0,Q
712,2,male,43,2,1,499.32,21,342,adult,1,C
793,1,female,17,2,0,499.89,22,144,child,1,C
202,2,female,72,3,2,498.4,23,64,old,0,Q
107,1,male,2,0,0,499.39,24,246,child,1,C
654,3,male,68,3,1,495.8,25,734,old,0,Q
59,3,female,43,3,2,495.69,26,990,adult,0,C
23,2,male,20,4,2,493.29,27,489,child,1,S
244,2,female,32,1,1,492.89,28,824,adult,1,C
665,2,male,72,1,0,492.71,29,438,old,0,S
67,2,female,46,3,1,492.21,30,105,adult,1,S
613,1,male,56,3,2,491.37,31,180,old,0,Q
112,2,female,38,3,1,490.27,32,183,adult,1,C
89,2,female,25,1,2,489.52,33,225,adult,1,Q
246,3,female,18,3,1,488.32,34,776,child,1,C
732,1,male,18,2,2,488.86,35,789,child,1,S
195,3,female,34,3,2,486.68,36,908,adult,1,S
44,1,female,72,0,2,488.6,37,88,old,0,C
58,1,male,18,1,0,488.54,38,687,child,1,C
722,3,male,46,1,0,486.44,39,529,adult,0,Q
515,1,female,48,4,0,487.8,40,370,adult,1,C
7,3,male,70,4,2,485.76,41,971,old,0,C
703,1,male,69,1,1,486.67,42,935,old,0,C
22,1,male,28,1,0,486.61,43,912,adult,0,Q
504,2,male,30,1,1,484.61,44,398,adult,1,C
429,2,male,39,3,0,483.3,45,105,adult,0,S
776,2,female,8,2,2,483.23,46,270,child,1,Q
701,3,female,47,3,1,481.99,47,974,adult,1,Q
289,2,male,70,4,1,482.67,48,830,old,0,S
334,3,male,28,2,2,481.55,49,502,adult,0,S
555,1,male,75,0,0,483.31,50,678,old,0,S
761,1,female,41,0,0,482.42,51,524,adult,1,C
680,2,female,64,2,0,481.22,52,848,old,0,S
344,1,male,66,1,0,481.85,53,31,old,0,C
268,3,female,9,1,2,479.5,54,392,child,1,Q
342,2,female,74,1,0,480.14,55,39,old,1,Q
257,2,female,62,0,2,479.65,56,659,old,0,S
657,2,female,63,4,1,478.78,57,217,old,0,C
14,3,female,63,4,0,477.28,58,730,old,0,S
507,1,female,23,2,1,478.55,59,980,adult,1,S
566,2,female,79,1,1,476.61,60,81,old,0,C
152,1,female,47,0,2,477.48,61,844,adult,1,S
312,3,female,28,0,1,474.71,62,719,adult,1,Q
708,3,male,4,4,1,474.47,63,200,child,1,S
25,1,male,39,0,2,476.3,64,446,adult,0,C
436,2,female,76,1,2,474.23,65,843,old,0,C
425,1,female,53,1,2,473.96,66,427,old,0,Q
48,1,male,60,4,2,471.61,67,37,old,0,C
399,3,male,62,2,1,469.53,68,210,old,0,C
290,3,female,73,2,0,469.26,69,443,old,0,Q
674,2,male,22,0,0,470.21,70,326,adult,0,S
744,1,female,29,2,0,469.74,71,760,adult,1,Q
370,3,male,71,4,0,467.64,72,226,old,0,S
375,2,female,7,2,0,467.46,73,47,child,1,Q
730,2,female,20,0,0,466.98,74,17,child,1,S
3,3,female,5,1,1,465.07,75,911,child,1,Q
227,2,female,69,4,2,465.14,76,438,old,0,S
124,3,female,29,4,0,463.72,77,806,adult,1,Q
105,3,male,59,0,1,462.95,78,707,old,0,S
656,2,male,65,3,0,463.38,79,186,old,0,Q
452,1,female,31,2,2,463.62,80,344,adult,1,C
86,2,male,70,0,1,462.52,81,223,old,0,S
795,2,male,35,2,0,460.93,82,829,adult,1,Q
173,3,male,24,3,1,459.82,83,487,adult,1,S
33,2,female,21,3,1,460.65,84,908,adult,1,S
84,1,female,9,3,0,459.12,85,876,child,1,Q
666,2,male,76,2,2,457.64,86,848,old,0,S
129,3,male,38,0,0,456.21,87,228,adult,1,Q
768,1,female,43,3,2,457.73,88,389,adult,1,C
639,2,male,25,1,0,456.0,89,978,adult,1,S
